"","X","patch","patch_tree","patch_total_veg","water_present","patch_size","patch_tree_scaled","patch_total_veg_scaled","patch_size_scaled"
"42",42,"p_42",0.354220676572874,0.711349984192223,0,0.0158244494025741,0.297343764122063,-0.402013398324265,-0.134121622734051
"43",43,"p_43",0.421950710592818,0.758514362553034,0,0.0431403255538344,0.579583416630718,-0.178224295941244,-0.113222174452835
"44",44,"p_44",0.368370292480694,0.881962239382757,1,1.49307559810889,0.356307010409199,0.40752050780599,0.996127094524468
"45",45,"p_45",0.211775119207378,0.48967821146104,0,0.0350260651569441,-0.296244961972489,-1.45381835722061,-0.119430416303327
"46",46,"p_46",0.154363395133337,0.820490556338958,1,0.575820603846879,-0.535486906658486,0.115845026257062,0.294332899562083
"47",47,"p_47",0.25503141863823,0.89004686579926,0,0.247943555444775,-0.115990469311538,0.445881053449364,0.0434733123486827
"48",48,"p_48",0.158202319935258,0.866306986781764,0,0.926777579258895,-0.519489619520228,0.3332382836165,0.562850999290581
"49",49,"p_49",0.0820067444094874,0.56681298393022,1,0.0530206187173538,-0.837006258486596,-1.08782346672632,-0.105662736313974
"50",50,"p_50",0.33938584692956,0.89407289006712,1,0.307823383041702,0.23552514518676,0.464984037277203,0.0892875250439019
"51",51,"p_51",0.421128422568451,1,0,0.0499922281125708,0.576156838014339,0.967594983796191,-0.107979765885697
"52",52,"p_52",0.701598860218458,0.863278982639438,1,0.0189517641436346,1.74491276744409,0.318870781010206,-0.131728906046951
"53",53,"p_53",0.806821182542146,0.992444071769736,0,0.215862168436698,2.1833875462999,0.931743045212679,0.0189277592479068
"54",54,"p_54",0.227439755025962,0.867427772600186,1,0.150218526732465,-0.230968435331296,0.338556272763934,-0.0312963626946358
"55",55,"p_55",0.861518987341772,0.941012658227848,1,0.00392753637264157,2.4113202447404,0.687707392229439,-0.143223982006672
"56",56,"p_56",0.18331743257657,0.862203760458617,1,0.355348398887483,-0.414831755883066,0.313768985649574,0.125649038957379
"57",57,"p_57",0.738464883670363,0.995303326810176,1,0.0229900532139428,1.89853816862693,0.945309854343272,-0.128639200518116
"58",58,"p_58",0.764987334646777,0.969884604559527,0,0.00710457620797679,2.00906058981835,0.824701182419746,-0.140793220519899
